Transactions for CHECKING-5550,,,,,
Date,Check Number,Description,Debit,Credit,Running Balance
03/01/2019,0, ZOES AP          PAYROLL       ,0,102.14,314.08
02/28/2019,0, STARBUCKS NO 47800         ATLA,4.19,0,221.51
02/28/2019,0, GSU PARKING DECK SKN       ATLA,5.00,0,225.70
02/28/2019,0, THAI STAR                  NORC,6.00,0,230.70
02/28/2019,0, MOES SW GRILL 213          ATLA,9.57,0,211.94
02/27/2019,0, SQUARE *SQ *ROLY POLY      ATLA,5.90,0,236.70
02/27/2019,0, CHECKERS 1135              DULU,6.44,0,242.60
02/26/2019,0, HUDSONNEWS ST1002          SANT,4.70,0,249.04
02/25/2019,0, VENMO            CASHOUT       ,0,20.00,253.74
02/22/2019,0, CHICK-FIL-A #00821         DULU,3.59,0,233.74
02/20/2019,0, SUBWAY        00598474     ATLA,8.27,0,257.03
02/20/2019,0, QUIKTRIP                   DULU,19.70,0,237.33
02/19/2019,0, LANIER PARKING 11356       ATLA,3.00,0,282.01
02/19/2019,0, MCDONALD S F10647          NORC,4.12,0,290.01
02/19/2019,0, GSU PARKING DECK SKN       ATLA,5.00,0,285.01
02/19/2019,0, MANHATTAN NY DELI BAGE     NORC,11.26,0,294.13
02/19/2019,0, VARSITY NORTH AVENUE T     ATLA,16.71,0,265.30
02/15/2019,0, ZOES AP          PAYROLL       ,0,159.15,336.41
02/15/2019,0, SQU*SQ *CAFE HOT WING      ATLA,8.74,0,327.67
02/15/2019,0, KROGER FU 1094             ALPH,22.28,0,305.39
02/14/2019,0, SQUARE INC       ANTHO         ,0,5.00,225.26
02/14/2019,0, PCA ATLANTA LOT 30         ATLA,8.00,0,217.26
02/14/2019,0, BIRD APP                   8662,10.00,0,207.26
02/14/2019,0, SQU*SQ *SCHARITES MARV     AUGU,30.00,0,177.26
02/13/2019,0, FLIP BURGER BOUTIQUE       ATLA,31.00,0,220.26
02/12/2019,0, POPEYES #12807             DULU,6.88,0,251.26
02/11/2019,0, SQUARE INC       ANTHO         ,0,12.00,277.15
02/11/2019,0, KROGER FU 3455             DULU,19.01,0,258.14
02/08/2019,0, DUNKIN #354102 Q35         PEAC,2.12,0,265.15
02/07/2019,0, STARBUCKS NO 47800         ATLA,4.19,0,276.19
02/07/2019,0, GSU PANTHER DINING RET     ATLA,8.92,0,267.27
02/06/2019,0, WALGREENS STOR             ATLA,1.24,0,280.38
02/06/2019,0, SQUARE *SQ *ROLY POLY      ATLA,9.44,0,281.62
02/05/2019,0, SQU*SQ *CAFE HOT WING      ATLA,11.88,0,291.06
02/04/2019,0, DAIRY QUEEN #41248         NORC,8.62,0,302.94
02/01/2019,0, ZOES AP          PAYROLL       ,0,144.81,429.92
02/01/2019,0, CHECKERS 1135              DULU,2.12,0,420.80
02/01/2019,0, KROGER 38 3455             DULU,3.05,0,391.56
02/01/2019,0, SQU*SQ *MAMA MIA PIZZA     ATLA,4.31,0,410.08
02/01/2019,0, SMOOTHIE KING #468         ATLA,6.41,0,414.39
02/01/2019,0, THAI STAR                  NORC,7.00,0,422.92
02/01/2019,0, KROGER FU 3455             DULU,15.47,0,394.61
02/01/2019,0, VENMO            PAYMENT    171,80.00,0,311.56
01/31/2019,0, GSU PANTHER DINING RET     ATLA,6.25,0,285.11
01/30/2019,0, KRISPY KREME DOUGH         DULU,1.15,0,291.36
01/29/2019,0, WALGREENS STOR             ATLA,1.88,0,295.01
01/29/2019,0, BIRD APP                   8662,2.50,0,292.51
01/29/2019,0, ROSAS PIZZA II             ATLA,3.16,0,296.89
01/28/2019,0, DUNKIN #353523 Q35         JOHN,1.17,0,300.05
01/25/2019,0, DUNKIN #310092 Q35         ATLA,5.86,0,301.22
01/25/2019,0, FLYING ROLL                DULU,20.00,0,307.08
01/24/2019,0, SQU*SQ *EBRIK COFFEE R     ATLA,3.18,0,353.26
01/24/2019,0, ARBYS #8080 ATLANTA        ATLA,4.35,0,348.91
01/24/2019,0, QUIKTRIP                   DULU,21.83,0,327.08
01/23/2019,0, DUNKIN #302564 Q35         DULU,5.07,0,356.44
01/22/2019,0, SENSATIONAL SUBS           ATLA,6.79,0,361.51
01/18/2019,0, ZOES AP          PAYROLL       ,0,154.21,368.30
01/17/2019,0, WILLYS GEORGIA STATE       ATLA,1.20,0,214.09
01/17/2019,0, AAA PARK 79 JOHN WESLE     ATLA,5.00,0,215.29
01/16/2019,0, ALLY BANK        P2P           ,0,200.00,220.29
01/15/2019,0, PUBLIX SUPER M             DULU,1.28,0,20.29
01/15/2019,0, DUNKIN #310092 Q35         ATLA,2.44,0,41.28
01/15/2019,0, WILLYS GEORGIA STATE       ATLA,19.71,0,21.57
01/14/2019,0, PROOF OF THE PUDDING A     DULU,6.00,0,86.25
01/14/2019,0, 3 BROTHERS SMOKE SHOP      DULU,21.20,0,43.72
01/14/2019,0, QUIKTRIP                   DULU,21.33,0,64.92
01/10/2019,0, HANSEL AND GRETEL CAND     HELE,8.89,0,112.93
01/10/2019,0, BQ WINGS                   DULU,10.00,0,102.93
01/10/2019,0, RITE AID STORE             ATLA,10.68,0,92.25
01/10/2019,0, HOFBRAUHAUS                HELE,45.99,0,121.82
01/08/2019,0, LEAF GROCERY               CLEV,7.52,0,167.81
01/07/2019,0, FELLINI S PIZZA-PONCE      ATLA,5.03,0,175.33
01/04/2019,0, ZOES AP          PAYROLL       ,0,41.09,180.36
01/02/2019,0, QUIKTRIP                   DULU,19.52,0,139.27
01/02/2019,0, PHO HOUSE.                 DULU,25.18,0,158.79
