Date,Check Number,Description,Type,Charge,Debit,Credit,Running Balance
10/18/18,0, TACO MAC 21                DULU,Food,34.33,34.33,0,393.95
10/19/18,0, VENMO            CASHOUT       ,Money Transfer - Credit,9.99,0,9.99,403.94
10/19/18,0, KROGER 38 3455             DULU,Food,2.2,2.2,0,390.74
10/19/18,0, VIP BILLIARDS              DULU,Entertainment,11,11,0,392.94
10/19/18,0, VENMO            PAYMENT    142,Money Transfer - Debit,27.33,27.33,0,363.41
10/23/18,0, QT 831        07008311     DULU,Food,0.52,0.52,0,362.89
10/23/18,506,CHECK,Withdrawal,25,25,0,337.89
10/24/18,0, WALGREENS STOR             ATLA,Food,3.15,3.15,0,321.41
10/24/18,0, CHICK-FIL-A #00821         DULU,Food,3.59,3.59,0,334.3
10/24/18,0, GSU PANTHER DINING RET     ATLA,Food,9.74,9.74,0,324.56
10/24/18,0, ALLY BANK        $TRANSFER  140,Ally Transfer - To,50,50,0,271.41
10/25/18,0, DUNKIN #310092 Q35         ATLA,Food,1.75,1.75,0,269.66
10/26/18,0, CHEVRON/EAST MARIETTA      MARI,Food,3.05,3.05,0,196.01
10/26/18,0, 038FBV STUDIO MOVIE GR     MARI,Entertainment,7,7,0,189.01
10/26/18,0, 038BOX STUDIO MOVIE GR     MARI,Entertainment,8.75,8.75,0,199.06
10/26/18,0, PHO HOUSE.                 DULU,Food,13.06,13.06,0,256.6
10/26/18,0, QUIKTRIP                   DULU,Gasoline,20.98,20.98,0,207.81
10/26/18,0, PARTY CITY 143             DULU,Entertainment,27.81,27.81,0,228.79
10/29/18,0, VENMO            PAYMENT    145,Money Transfer - Debit,1,1,0,144.17
10/29/18,0, VENMO            PAYMENT    145,Money Transfer - Debit,1,1,0,145.17
10/29/18,0, KROGER 381                 DULU,Grocery,5.09,5.09,0,154.32
10/29/18,0, LANIER PARKING 2101170     ATLA,Transportation,6,6,0,183.01
10/29/18,0, CHICK-FIL-A #00821         DULU,Food,8.15,8.15,0,146.17
10/29/18,0, VENMO            PAYMENT    144,Money Transfer - Debit,13,13,0,131.17
10/29/18,0, DRY COUNTY BREWING         KENN,Entertainment,23.6,23.6,0,159.41
10/30/18,0, PARTY CITY 143             DULU,Entertainment,9.28,9.28,0,121.89
10/31/18,0, BURGER KING #9649  Q07     ATLA,Food,6.31,6.31,0,115.58
11/1/18,0, KROGER FU 3455             DULU,Gasoline,23.46,23.46,0,92.12
11/2/18,0, KURA REVOLVING SUSHI B     DORA,Food,33,33,0,59.12
11/5/18,0, RACETRAC 2409              DULU,Gasoline,22.12,22.12,0,37
11/6/18,0, BOJANGLES 200301020031     DULU,Food,1.05,1.05,0,35.95
11/6/18,0, WILLYS GEORGIA STATE       ATLA,Food,1.09,1.09,0,30.96
11/6/18,0, DUNKIN #310092 Q35         ATLA,Food,3.9,3.9,0,32.05
11/7/18,0, MOBILE APP TRANSFER FROM 100002,Money Transfer - Credit,15,0,15,45.96
11/7/18,0, SQU*SQ *DUA TAKE OUT O     ATLA,Money Transfer - Debit,10.62,10.62,0,35.34
11/8/18,0, LYFT   *RIDE WED 6PM       8552,Transportation,9.28,9.28,0,26.06
11/9/18,0, ALLY BANK        P2P           ,Ally Transfer - From,500,0,500,526.06
11/9/18,0, LYFT   *RIDE WED 8PM       8552,Transportation,3.07,3.07,0,522.99
11/14/18,0, KROGER FU 3455             DULU,Gasoline,22.57,22.57,0,500.42
11/15/18,0, WALGREENS 25 P             ATLA,Food,4.7,4.7,0,495.72
11/16/18,0, VENMO            PAYMENT    150,Money Transfer - Debit,311.4,311.4,0,184.32
11/19/18,0, SQUARE INC       ANTHO         ,Money Transfer - Credit,11,0,11,195.32
11/19/18,0, QUIKTRIP                   DULU,Gasoline,16.13,16.13,0,179.19
11/20/18,0, CYCLONE PODS               805-,Entertainment,16.65,16.65,0,162.54
11/23/18,0, VENMO            CASHOUT       ,Money Transfer - Credit,10,0,10,172.54
11/23/18,0, ALLY BANK        $TRANSFER  142,Ally Transfer - To,50,50,0,122.54
11/27/18,0, ARBYS #8080 ATLANTA        ATLA,Food,3.35,3.35,0,115.68
11/27/18,0, DUNKIN #310092 Q35         ATLA,Food,3.51,3.51,0,119.03
11/28/18,0, SUBWAY        00528034     ATLA,Food,1.41,1.41,0,111.63
11/28/18,0, DUNKIN #302564 Q35         DULU,Food,2.64,2.64,0,113.04
