Transactions for CHECKING-5550,,,,,
Date,Check Number,Description,Debit,Credit,Running Balance
05/30/2019,0, KROGER #6 3093             DULU,4.58,0,294.25
05/28/2019,0, BERKLEY LAKE               NORC,20.00,0,298.83
05/23/2019,0, ALLY BANK        P2P           ,0,207.00,318.83
05/22/2019,0, VENMO            PAYMENT    207,27.00,0,111.83
05/21/2019,0, CI CI S NORCROSS #         PEAC,6.56,0,138.83
05/13/2019,0, SQUARE INC       * CASH APP    ,0,25.00,264.71
05/13/2019,0, ALLY CASHBACK CC ONLINE PMT CKF,119.32,0,145.39
05/10/2019,0, SQUARE INC       * CASH APP    ,0,28.00,239.71
05/07/2019,0, ALLY BANK        $TRANSFER     ,0,150.00,211.71
05/06/2019,0, SAXBYS - GSU               ATLA,4.39,0,132.01
05/06/2019,0, LITTLE CAESARS 1391-00     NORC,6.36,0,61.71
05/06/2019,0, KROGER 38 3455             DULU,26.05,0,105.96
05/06/2019,0, 803 BOWLERO 8003425263     NORC,37.89,0,68.07
05/03/2019,0, KROGER 38 3455             DULU,3.56,0,136.40
05/02/2019,0, GSU PANTHER DINING RET     ATLA,3.37,0,139.96
05/01/2019,0, WALGREENS 25 P             ATLA,3.34,0,143.33
05/01/2019,0, SMOOTHIE KING #468-GEO     ATLA,6.20,0,146.67
04/30/2019,0, GSU PANTHER DINING RET     ATLA,3.80,0,161.15
04/30/2019,0, PANDA EXPRESS #3101        ATLA,8.28,0,152.87
04/29/2019,0, COOK OUT TUCKER            TUCK,4.85,0,164.95
04/26/2019,0, SQUARE INC       ANTHO         ,0,16.00,169.80
04/26/2019,0, ZOES AP          PAYROLL       ,0,46.84,67.99
04/26/2019,0, ZOES AP          PAYROLL       ,0,85.81,153.80
04/24/2019,0, SAXBYS - GSU               ATLA,3.04,0,21.15
04/22/2019,0, LAUREL SPRING #2           SUWA,60.00,0,24.19
04/15/2019,0, ALLY BANK        P2P           ,0,50.00,84.19
04/12/2019,0, FROM 0175 1000027445740  ,0,30.00,39.23
