Transactions for CHECKING-5550,,,,,
Date,Check Number,Description,Debit,Credit,Running Balance
02/20/2020,0, SUBWAY        00046276     DULU,13.74,0,481.32
02/19/2020,0, FROM 0175 1000027445740  ,0,150.00,1520.45
02/19/2020,0, WILLYS GEORGIA STATE       ATLA,1.20,0,1519.25
02/19/2020,0, GSU CHICK-FIL-A            ATLA,4.35,0,1514.90
02/19/2020,0, TD BANK          PAYMENT    ANT,1019.84,0,495.06
02/18/2020,0, REVELATOR ATL WESTSIDE     ATLA,6.63,0,1370.45
02/14/2020,0, SQ *BARAKA SHAWARMA        ATLA,9.16,0,1377.08
02/12/2020,0,DEPOSIT,0,1084.31,1410.99
02/12/2020,0, WILLYS GEORGIA STATE       ATLA,1.20,0,1409.79
02/12/2020,0, PANDA EXPRESS #3101        ATLA,8.28,0,1401.51
02/12/2020,0, KROGER 34 1715             ATLA,15.27,0,1386.24
02/11/2020,0, SQUARE INC       * CASH APP    ,0,7.00,330.64
02/11/2020,0, QT 831                     DULU,3.96,0,326.68
02/10/2020,0, VENMO            CASHOUT       ,0,18.00,328.35
02/10/2020,0, BOCADO                     ATLA,4.71,0,323.64
02/07/2020,0, 0206 06358318         000080862,0,6.50,332.60
02/07/2020,0, STUDENT CENTER INFORMA     ATLA,1.00,0,321.99
02/07/2020,0, THE HOME DEPOT             ATLA,5.14,0,310.35
02/07/2020,0, THE HOME DEPOT             ATLA,6.50,0,315.49
02/07/2020,0, SQ *BARAKA SHAWARMA        ATLA,9.61,0,322.99
02/05/2020,0, ARBYS #8080 ATLANTA        ATLA,3.26,0,347.34
02/05/2020,0, PANDA EXPRESS #3101        ATLA,8.28,0,339.06
02/05/2020,0, KROGER 34 1715             ATLA,12.96,0,326.10
02/04/2020,0, S068AC1          RENT       108,789.95,0,350.60
02/03/2020,0, MOBILE APP TRANSFER FROM 100002,0,200.00,1144.15
02/03/2020,0, ZUMIEZ #565                ATLA,3.60,0,1140.55
01/29/2020,0, GSU PANTHERS CLUB          ATLA,4.35,0,944.15
01/28/2020,0, ALLY BANK        P2P           ,0,250.00,1008.50
01/28/2020,0, VENMO            PAYMENT    303,60.00,0,948.50
01/27/2020,0, THE HOME DEPOT             ATLA,24.98,0,785.96
01/27/2020,0, KROGER 34 1715             ATLA,27.46,0,758.50
01/21/2020,0, ALLY BANK        $TRANSFER  200,2500.00,0,810.94
01/07/2020,0, SQUARE INC       * CASH APP    ,0,10.00,2462.69
01/07/2020,0,DEPOSIT,0,856.51,3319.20
01/07/2020,0, KROGER 34 1715             ATLA,8.26,0,3310.94
01/06/2020,0, VENMO            CASHOUT       ,0,100.00,2459.69
01/06/2020,0, THAI STAR                  NORC,7.00,0,2452.69
01/03/2020,0, S068AC1          RENT       106,789.95,0,2359.69
01/02/2020,0, MOBILE APP TRANSFER FROM 100002,0,200.00,3170.11
01/02/2020,0, SQUARE INC       * CASH APP T20,10.00,0,3149.64
01/02/2020,0, KROGER 34 1715             ATLA,10.47,0,3159.64
12/27/2019,0,DEPOSIT,0,817.17,2970.11
12/26/2019,0, SQUARE INC       * CASH APP T20,25.00,0,2152.94
12/24/2019,0, SQUARE INC       * CASH APP    ,0,41.00,2177.94
12/23/2019,0, VENMO            PAYMENT    289,3.00,0,2186.94
12/23/2019,0, VENMO            PAYMENT    288,50.00,0,2136.94
12/20/2019,0,DEPOSIT,0,300.00,2189.94
12/16/2019,0, CASH APP*PHILIP SEW        4153,10.00,0,1889.94
12/16/2019,0, CASH APP*PHILIP SEW        4153,10.00,0,1899.94
12/13/2019,0, KROGER 34 1715             ATLA,69.32,0,2374.20
12/13/2019,0, ALLY CASHBACK CC ONLINE PMT CKF,464.26,0,1909.94
12/12/2019,0,DEPOSIT,0,1138.15,2483.52
12/12/2019,0, SQUARE INC       * CASH APP T20,5.00,0,2473.52
12/12/2019,0, VENMO            PAYMENT    284,5.00,0,2478.52
12/12/2019,0, SQUARE INC       * CASH APP T20,30.00,0,2443.52
12/03/2019,0, SQUARE INC       * CASH APP    ,0,60.00,2135.32
12/03/2019,0, S068AC1          RENT       103,789.95,0,1345.37
12/02/2019,0, VENMO            CASHOUT       ,0,14.00,2117.27
12/02/2019,0, MOBILE APP TRANSFER FROM 100002,0,200.00,2103.27
12/02/2019,0, VENMO            PAYMENT    280,15.00,0,2102.27
12/02/2019,0, S068AC1          RENT       102,26.95,0,2075.32
