Transactions for CHECKING-5550,,,,,
Date,Check Number,Description,Debit,Credit,Running Balance
08/28/2019,0, COOPER PEDIATRICS          DULU,20.00,0,1153.05
08/28/2019,0, KROGER 38 3455             DULU,27.38,0,1125.67
08/27/2019,0, ALLY BANK        P2P           ,0,788.00,1186.91
08/27/2019,0, WALGREENS 25 P             ATLA,3.86,0,1173.05
08/27/2019,0, TEXACO 0302534             ATLA,10.00,0,1176.91
08/26/2019,0, SQUARE INC       * CASH APP    ,0,35.00,481.76
08/26/2019,0, WAL-MART #3775             ATLA,82.85,0,398.91
08/21/2019,0, PUBLIX SUPER MAR           ATLA,20.83,0,446.76
08/19/2019,0, TACO MAC 22                KENN,23.06,0,492.59
08/19/2019,0, VENMO            PAYMENT    239,25.00,0,467.59
08/16/2019,0, WM SUPERCENTER #           ATLA,317.18,0,1305.60
08/16/2019,0, S068AC1          RENT       993,789.95,0,515.65
08/15/2019,0, CHICK-FIL-A #00807         MARI,9.36,0,1622.78
08/14/2019,0, SQUARE INC       * CASH APP T20,20.00,0,1632.14
08/13/2019,0,DEPOSIT,0,569.00,1652.14
08/06/2019,0,MOBILE CHECK DEPOSIT,0,136.90,1331.14
08/06/2019,0, ALLY CASHBACK CC ONLINE PMT CKF,248.00,0,1083.14
08/02/2019,0, ZOES AP          PAYROLL       ,0,100.07,1194.24
07/31/2019,0, SQUARE INC       * CASH APP    ,0,52.00,1094.17
07/29/2019,0, KROGER 38 3455             DULU,2.04,0,1042.17
07/19/2019,0, ZOES AP          PAYROLL       ,0,186.59,1044.21
07/10/2019,0, SQUARE INC       * CASH APP T20,40.00,0,989.84
07/10/2019,0, ALLY CASHBACK CC ONLINE PMT CKF,132.22,0,857.62
07/09/2019,0,MOBILE CHECK DEPOSIT,0,97.78,1029.84
07/05/2019,0, ZOES AP          PAYROLL       ,0,177.39,1187.06
07/05/2019,0, MOBILE APP TRANSFER TO 10000274,255.00,0,932.06
06/26/2019,0,DEPOSIT,0,426.58,1009.67
06/21/2019,0, ZOES AP          PAYROLL       ,0,240.62,587.54
06/21/2019,0, GSU PANTHER DINING RET     ATLA,4.45,0,583.09
06/20/2019,0, USA*VENDING                ALPH,1.10,0,348.52
06/20/2019,0, USA*VENDING                ALPH,1.60,0,346.92
06/20/2019,0, GSU PARKING DECK SKN       ATLA,5.00,0,349.62
06/19/2019,0,MOBILE CHECK DEPOSIT,0,25.00,58.81
06/19/2019,0,MOBILE CHECK DEPOSIT,0,50.00,108.81
06/19/2019,0,MOBILE CHECK DEPOSIT,0,50.00,158.81
06/19/2019,0,MOBILE CHECK DEPOSIT,0,100.00,258.81
06/19/2019,0,MOBILE CHECK DEPOSIT,0,100.00,358.81
06/19/2019,0, GSU PANTHER DINING RET     ATLA,4.19,0,354.62
06/18/2019,0, QT 1702       91017020     SMYR,3.82,0,43.81
06/18/2019,0, WAFFLE HOUSE 1890          ATLA,10.00,0,33.81
06/17/2019,0, QT 729        07007297     ATLA,1.04,0,89.64
06/17/2019,0, KROGER #2 3300             ATLA,2.54,0,77.63
06/17/2019,0, BQ WINGS                   DULU,9.47,0,80.17
06/17/2019,00000000507,CHECK,30.00,0,47.63
06/14/2019,0, SQUARE INC       * CASH APP T20,8.00,0,90.68
06/14/2019,0, JERSEY MIKES 5020          ATLA,15.03,0,98.68
06/12/2019,0, VENMO            CASHOUT       ,0,21.50,119.63
06/12/2019,0, GSU PANTHER DINING RET     ATLA,2.17,0,113.71
06/12/2019,0, COOK OUT MORELAND AVE      ATLA,3.75,0,115.88
06/11/2019,0, ALLY CASHBACK CC ONLINE PMT CKF,180.40,0,98.13
06/10/2019,0, POPEYES #12807             DULU,6.88,0,278.53
06/10/2019,0, SUBLIME DRUIDHILLS         ATLA,8.22,0,285.41
06/06/2019,0, SQUARE INC       * CASH APP    ,0,15.00,303.63
06/06/2019,0, SQUARE INC       * CASH APP T20,5.00,0,293.63
06/06/2019,0, SQUARE INC       * CASH APP T20,5.00,0,298.63
06/03/2019,0, QT 831        07008311     DULU,2.03,0,288.63
05/31/2019,0, CHICK-FIL-A #00821         DULU,3.59,0,290.66
